,City,Date,Cloudiness,Country,Wind Speed,Humidity,Latitude,Longitude,Max Temp
291,La Palma,1616241110,90,US,5.75,100,33.8464,-118.0467,55.99
292,Walvis Bay,1616241111,24,NA,7.0,82,-22.9575,14.5053,66.0
293,Santa Marta,1616241114,59,CO,3.44,78,11.2408,-74.199,79.0
294,Bon Accord,1616241116,1,CA,6.91,64,53.8335,-113.4187,34.0
295,Leh,1616241119,3,IN,2.62,44,34.1667,77.5833,33.42
296,Krasnyy Chikoy,1616241121,61,RU,4.65,89,50.3643,108.7512,14.45
297,Kuala Terengganu,1616241123,20,MY,4.61,74,5.3302,103.1408,84.2
298,Butaritari,1616241125,6,KI,17.67,80,3.0707,172.7902,81.68
299,Bathsheba,1616241128,40,BB,17.27,65,13.2167,-59.5167,77.0
300,Kaitangata,1616241130,39,NZ,6.4,95,-46.2817,169.8464,49.42
301,Svetlaya,1616241132,100,RU,6.49,88,46.5389,138.3297,30.18
302,Moose Factory,1616241134,1,CA,10.36,69,51.2585,-80.6094,30.2
303,Sarh,1616241136,0,TD,9.22,28,9.1429,18.3923,100.4
304,High Level,1616241138,90,CA,11.5,93,58.5169,-117.136,19.4
305,Chapais,1616241140,1,CA,4.61,68,49.7834,-74.8492,23.0
306,Aljezur,1616241142,0,PT,17.38,39,37.3191,-8.8033,57.81
307,Baharly,1616241144,35,TM,4.88,33,38.4362,57.4316,63.82
308,Mgandu,1616241146,60,TZ,7.74,58,-5.95,34.1333,77.54
309,Otkaznoye,1616241149,75,RU,8.95,57,44.3264,43.8608,46.0
310,Amga,1616241151,86,RU,4.03,92,60.8953,131.9608,14.47
311,Stawell,1616241153,66,AU,9.4,63,-37.05,142.7667,65.08
312,Aswān,1616241155,0,EG,7.78,10,24.0934,32.907,100.36
313,Murray Bridge,1616241157,65,AU,2.51,80,-35.1167,139.2667,66.99
314,Pisco,1616241158,40,PE,2.3,82,-13.7,-76.2167,66.99
315,Gus'-Khrustal'nyy,1616241160,81,RU,6.51,79,55.6111,40.6519,28.45
316,Semporna,1616241163,20,MY,8.05,78,4.4818,118.6112,80.6
317,Baiyin,1616241165,86,CN,17.9,32,36.5583,104.2081,42.01
318,Kuril'sk,1616241167,35,RU,3.04,85,45.2333,147.8833,21.2
319,Turtas,1616241170,100,RU,5.55,96,58.9417,69.1325,31.82
320,Formosa,1616241172,0,AR,8.05,88,-26.1775,-58.1781,77.0
321,Camaná,1616241174,57,PE,7.99,85,-16.6228,-72.7111,69.69
322,Eina,1616241177,0,NO,2.3,56,60.6295,10.5993,42.8
323,Iwaki,1616241179,98,JP,3.69,78,37.05,140.8833,54.0
324,Agüimes,1616241181,20,ES,21.85,49,27.9054,-15.4461,68.0
325,Sabang,1616241183,100,ID,7.11,66,5.8933,95.3214,84.61
326,Medicine Hat,1616241185,1,CA,8.05,64,50.0501,-110.6683,33.8
327,Husavik,1616241187,40,IS,9.22,48,66.0449,-17.3389,41.0
328,Isangel,1616241189,100,VU,8.48,83,-19.55,169.2667,76.64
329,Itamaraju,1616241191,3,BR,3.96,80,-17.0392,-39.5311,78.26
330,Prince Rupert,1616241068,40,CA,6.91,64,54.3161,-130.3201,37.4
331,Nouadhibou,1616241195,0,MR,20.71,52,20.931,-17.0347,69.8
332,Abu Kamal,1616241197,89,SY,11.18,20,34.4506,40.9171,74.53
333,Los Llanos de Aridane,1616241200,20,ES,13.8,55,28.6585,-17.9182,66.2
334,Muros,1616241202,0,ES,13.0,41,42.7762,-9.0603,57.99
335,Atbasar,1616241204,97,KZ,24.02,91,51.8,68.3333,32.65
336,Capaci,1616241207,75,IT,3.44,76,38.1711,13.2393,55.99
337,Kimbe,1616241076,98,PG,1.97,87,-5.5502,150.1429,78.78
338,Zhigalovo,1616241212,100,RU,5.3,86,54.8097,105.1578,22.98
339,Narsaq,1616241214,75,GL,16.11,75,60.9167,-46.05,35.6
340,Gari,1616241217,100,RU,10.87,95,59.4307,62.3497,25.74
341,Juneau,1616241144,75,US,0.47,80,58.3019,-134.4197,26.6
342,Amboasary,1616241220,20,MG,18.41,70,-25.0333,46.3833,86.0
343,Pemangkat,1616241222,69,ID,8.41,83,1.1667,108.9667,80.08
344,Aitape,1616241224,100,PG,3.06,80,-3.1374,142.3475,80.69
345,Mossamedes,1616241226,0,AO,11.5,65,-15.1961,12.1522,80.6
346,Price,1616241228,1,US,5.75,49,39.5994,-110.8107,42.8
347,Acaraú,1616241229,32,BR,7.65,75,-2.8856,-40.12,80.85
348,Kidal,1616241231,15,ML,13.62,7,18.4411,1.4078,97.25
349,Bagdarin,1616241234,76,RU,4.29,78,54.4333,113.6,13.32
350,Egvekinot,1616241236,100,RU,11.16,78,66.3167,-179.1667,-11.65
351,Richards Bay,1616241238,20,ZA,12.17,63,-28.783,32.0377,83.12
352,Zákányszék,1616241240,57,HU,3.94,62,46.2745,19.8898,45.0
353,Chokwé,1616241241,43,MZ,6.85,52,-24.5333,32.9833,87.03
354,Ajdabiya,1616241244,4,LY,9.73,19,30.7554,20.2263,80.78
355,Coquimbo,1616241246,0,CL,10.36,76,-29.9533,-71.3436,55.4
356,Kaeo,1616241248,14,NZ,3.0,84,-35.1,173.7833,57.99
357,Saint-Joseph,1616241250,75,RE,23.02,70,-21.3667,55.6167,84.99
358,Toora-Khem,1616241252,77,RU,2.8,83,52.4675,96.11,20.61
359,Grand-Santi,1616241254,89,GF,3.18,75,4.25,-54.3833,77.99
360,Yaan,1616241255,100,NG,5.91,52,7.3833,8.5667,87.46
361,Lábrea,1616241257,100,BR,2.15,99,-7.2586,-64.7981,71.8
362,Narathiwat,1616241260,20,TH,6.91,74,6.3333,101.75,84.2
363,Hobyo,1616241262,26,SO,16.42,63,5.3505,48.5268,84.06
364,Riyadh,1616241152,0,SA,8.05,10,24.6877,46.7219,84.2
365,Arrondissement de Carcassonne,1616241266,40,FR,20.71,57,43.25,2.1667,48.2
366,Lima,1616241022,100,PE,2.3,88,-12.0432,-77.0282,69.01
367,Vestmannaeyjar,1616241270,40,IS,19.57,81,63.4427,-20.2734,39.2
368,Phimai,1616241272,20,TH,3.29,79,15.2232,102.4947,96.01
369,Anloga,1616241274,20,GH,11.5,70,5.7947,0.8973,87.8
370,Norman Wells,1616241276,75,CA,19.57,71,65.282,-126.8329,-5.8
371,Masty,1616241278,75,BY,8.95,69,53.4122,24.5387,32.0
372,Mollendo,1616241189,51,PE,7.27,84,-17.0231,-72.0147,68.65
373,Rawson,1616241268,81,AR,24.38,39,-43.3002,-65.1023,65.12
374,Kayerkan,1616241284,0,RU,4.23,73,69.3497,87.7602,-23.55
375,Cayenne,1616241287,90,GF,6.08,88,4.9333,-52.3333,81.0
376,Ust-Kuyga,1616241289,43,RU,3.62,99,70.0167,135.6,-23.24
377,Alofi,1616241291,100,NU,3.44,100,-19.0595,-169.9187,73.4
378,Leningradskiy,1616241292,100,RU,1.97,84,69.3833,178.4167,-15.7
379,Dekar,1616241294,32,BW,11.21,28,-21.5333,21.9333,87.21
380,Luwuk,1616241296,72,ID,1.07,85,-0.9516,122.7875,80.37
381,Itaituba,1616241298,69,BR,3.53,94,-4.2761,-55.9836,77.0
382,Upernavik,1616241301,95,GL,12.15,93,72.7868,-56.1549,4.98
383,Kovačica,1616241303,75,RS,6.91,53,45.1117,20.6214,46.0
384,Petropavlovsk-Kamchatskiy,1616241305,82,RU,4.47,59,53.0452,158.6483,26.6
385,Loon,1616241307,40,PH,8.05,74,9.7998,123.7929,84.2
386,Micheweni,1616241309,71,TZ,7.54,62,-4.9667,39.8333,87.1
387,Songyuan,1616241312,100,CN,5.61,97,45.1171,124.8568,32.95
388,Volksrust,1616241314,50,ZA,3.36,33,-27.3654,29.8818,77.9
389,Oruzgan,1616241316,100,AF,4.83,40,32.8333,66.0,62.26
390,Fortuna,1616241318,90,US,9.22,100,40.5982,-124.1573,43.0
391,Den Helder,1616241320,90,NL,13.8,75,52.9599,4.7593,45.0
392,Klaksvík,1616241322,75,FO,19.57,76,62.2266,-6.589,44.6
393,Bairiki Village,1616241325,40,KI,15.08,81,1.3292,172.9752,81.34
394,Māgadi,1616241327,35,IN,5.75,19,12.9667,77.2333,91.0
395,Banda Aceh,1616241108,100,ID,7.09,72,5.5577,95.3222,82.49
396,Ardakān,1616241205,0,IR,11.5,9,32.31,54.0175,73.4
397,Goundam,1616241335,32,ML,3.33,6,16.4145,-3.6708,98.02
398,Mayumba,1616241337,100,GA,6.8,71,-3.432,10.6554,83.12
399,Soe,1616241339,78,ID,2.89,89,-9.8607,124.284,68.43
400,Annau,1616241341,75,TM,9.22,42,37.8876,58.516,62.6
401,Garoua Boulaï,1616241343,99,CM,2.89,48,5.8833,14.55,86.43
402,Yarmolyntsi,1616241345,51,UA,9.46,58,49.1924,26.8373,37.0
403,Bulgan,1616241251,0,MN,4.56,67,48.8125,103.5347,18.19
404,Cabo San Lucas,1616241172,0,MX,0.81,34,22.8909,-109.9124,63.0
405,Ayorou,1616241351,61,NE,3.85,5,14.7308,0.9174,100.15
406,Turukhansk,1616241353,0,RU,9.89,81,65.8167,87.9833,-6.34
407,Gornopravdinsk,1616241356,100,RU,4.65,95,60.05,69.9,29.46
408,Huarmey,1616241358,100,PE,7.05,72,-10.0681,-78.1522,71.38
409,Acapulco de Juárez,1616241217,6,MX,4.74,67,16.8634,-99.8901,73.27
410,Rørvik,1616241362,100,NO,34.02,82,64.8621,11.2373,43.9
411,Prado,1616241365,15,BR,3.85,74,-17.3411,-39.2208,79.48
412,Wanning,1616241367,81,CN,6.06,87,18.8003,110.3967,75.52
413,Srednekolymsk,1616241369,2,RU,2.46,85,67.45,153.6833,-12.39
414,Hare Bay,1616241370,97,CA,5.75,93,48.8499,-54.0148,21.2
415,Makat,1616241372,100,KZ,16.26,64,47.6469,53.3463,36.52
416,Manggar,1616241375,91,ID,5.55,81,-2.8833,108.2667,81.36
417,Torit,1616241376,78,SS,7.87,31,4.4133,32.5678,96.42
418,Mokhsogollokh,1616241378,90,RU,3.42,90,61.4681,128.9203,15.64
419,Pevek,1616241380,48,RU,1.12,99,69.7008,170.3133,-23.96
420,Hay River,1616241383,99,CA,11.5,79,60.8156,-115.7999,14.0
421,Touros,1616241385,40,BR,6.91,83,-5.1989,-35.4608,78.8
422,Shugurovo,1616241387,100,RU,14.67,93,54.5083,52.1326,26.65
423,Kysyl-Syr,1616241388,100,RU,11.3,85,63.8986,122.7617,19.76
424,Port Hedland,1616241390,90,AU,14.97,57,-20.3167,118.5667,77.0
425,Uren',1616241393,97,RU,9.98,88,57.4552,45.7852,25.81
426,Mahajanga,1616241396,20,MG,5.75,55,-15.7167,46.3167,89.6
427,Vestnes,1616241398,75,NO,23.02,87,62.6264,7.0884,44.6
428,Afzalgarh,1616241400,0,IN,8.32,10,29.4,78.6833,93.6
429,Arrecife,1616241402,40,ES,18.41,49,28.963,-13.5477,68.0
430,Concarneau,1616241403,75,FR,10.36,62,47.875,-3.9225,51.8
431,Tura,1616241405,0,IN,3.51,25,25.5198,90.2201,82.24
432,Healesville,1616241408,99,AU,4.03,88,-37.65,145.5167,66.99
433,Olean,1616241410,1,US,0.78,63,42.0776,-78.4297,23.0
434,Lázaro Cárdenas,1616241412,0,MX,4.05,60,17.9583,-102.2,72.03
435,Makakilo City,1616241414,20,US,8.05,68,21.3469,-158.0858,71.6
436,Kargil,1616241416,30,IN,1.21,72,34.5667,76.1,27.07
437,Upata,1616241418,78,VE,1.01,95,8.0086,-62.3989,72.0
438,Bilma,1616241420,10,NE,2.24,8,18.6853,12.9164,102.72
439,Matagami,1616241423,1,CA,8.05,64,49.7502,-77.6328,30.2
440,Lagunillas,1616241425,66,VE,3.98,67,10.1301,-71.2595,78.53
441,Aktau,1616241427,40,KZ,13.42,71,43.65,51.2,48.2
442,Jalu,1616241429,0,LY,9.8,9,29.0331,21.5482,93.13
443,Eureka,1616241432,42,US,6.6,96,40.8021,-124.1637,43.0
444,Clyde River,1616241434,1,CA,5.75,69,70.4692,-68.5914,-18.4
445,The Valley,1616241436,75,AI,12.66,83,18.217,-63.0578,78.8
446,Solnechnyy,1616241438,100,RU,3.33,92,50.7214,136.6319,22.08
447,Brigantine,1616241440,1,US,8.75,63,39.4101,-74.3646,33.01
448,Mount Gambier,1616241442,34,AU,12.66,64,-37.8333,140.7667,69.8
449,Cowra,1616241444,90,AU,5.01,89,-33.8333,148.6833,60.01
450,Zelenoborskiy,1616241446,98,RU,7.25,92,66.845,32.3622,27.0
451,Heraclea,1616241449,98,TR,3.83,43,37.5133,34.0467,51.66
452,Marawi,1616241452,100,PH,5.01,85,7.9986,124.2928,81.0
453,Knyaginino,1616241454,97,RU,13.02,87,55.8228,45.0349,26.67
454,Tarpa,1616241456,40,HU,3.44,48,48.1048,22.5374,41.0
455,Pochutla,1616241462,0,MX,4.0,75,15.7432,-96.4661,71.01
456,Neustadt an der Waldnaab,1616241465,40,DE,8.05,47,49.7117,12.0872,36.0
457,Naghadeh,1616241467,0,IR,5.88,31,36.9553,45.388,54.86
458,Maceió,1616241470,75,BR,5.75,78,-9.6658,-35.7353,80.6
459,Vestmanna,1616241473,75,FO,19.57,76,62.1564,-7.1664,44.6
460,Half Moon Bay,1616241476,40,US,8.05,87,37.4636,-122.4286,48.99
461,Padilla,1616241478,75,CO,4.61,94,3.2204,-76.3139,66.2
462,Bodaybo,1616241480,100,RU,8.57,86,57.8506,114.1933,20.41
463,North Bend,1616241483,90,US,8.05,100,43.4065,-124.2243,43.0
464,Mbeya,1616241485,39,TZ,2.62,72,-8.9,33.45,72.86
465,Pangody,1616241487,69,RU,15.82,82,65.85,74.4859,-10.82
466,Sola,1616241489,95,VU,11.63,76,-13.8833,167.55,82.24
467,Bengkulu,1616241493,91,ID,2.84,81,-3.8004,102.2655,79.56
468,Bonavista,1616241495,100,CA,5.75,93,48.6499,-53.1147,26.01
469,Korla,1616241497,34,CN,3.8,34,41.7597,86.1469,48.18
470,Caravelas,1616241500,27,BR,4.29,79,-17.7125,-39.2481,79.3
471,Dunedin,1616241409,56,NZ,17.0,72,-45.8742,170.5036,57.99
472,Honiara,1616241508,100,SB,4.81,89,-9.4333,159.95,76.77
473,Batagay,1616241511,12,RU,4.34,79,67.6333,134.6333,0.48
474,Nome,1616241513,1,US,14.97,60,64.5011,-165.4064,3.2
475,Lorengau,1616241515,98,PG,6.02,72,-2.0226,147.2712,83.34
476,Viedma,1616241517,20,AR,17.78,41,-40.8135,-62.9967,67.03
477,Vila do Maio,1616241520,0,CV,18.41,53,15.1333,-23.2167,77.0
478,Bulawayo,1616241522,11,ZW,8.97,34,-20.15,28.5833,81.93
479,Barreirinha,1616241524,78,BR,4.45,86,-2.7933,-57.07,75.87
480,Gillette,1616241259,1,US,8.05,57,44.2911,-105.5022,44.6
481,Sur,1616241529,0,OM,8.77,27,22.5667,59.5289,94.44
482,Obo,1616241533,94,CF,6.46,33,5.3998,26.4869,93.9
483,Orapa,1616241537,15,BW,11.5,27,-21.2833,25.3667,87.51
484,Ongandjera,1616241540,69,NA,7.63,45,-17.8833,15.0667,83.75
485,Nelson Bay,1616241544,75,AU,12.66,94,-32.7167,152.15,69.8
486,Saint Anthony,1616241547,1,US,12.66,69,45.0205,-93.218,37.0
487,Plaster Rock,1616241549,90,CA,6.91,50,46.9065,-67.39,23.0
488,Ōfunato,1616241552,100,JP,5.73,97,39.0717,141.7167,44.38
489,Cuajinicuilapa,1616241557,0,MX,2.46,73,16.4667,-98.4167,69.76
490,Buerarema,1616241562,75,BR,9.22,94,-14.9594,-39.2997,77.0
491,Ketchikan,1616241566,75,US,3.44,93,55.3422,-131.6461,30.2
492,Tehachapi,1616241568,66,US,5.99,86,35.1322,-118.449,46.0
493,Kalmunai,1616241571,87,LK,10.33,77,7.4167,81.8167,82.06
494,Olivet,1616241574,40,FR,13.8,53,47.8622,1.8991,48.99
495,Chipinge,1616241577,2,ZW,7.94,47,-20.1883,32.6236,77.94
496,Sawākin,1616241579,43,SD,10.33,43,19.1059,37.3321,84.79
497,Sobolevo,1616241582,15,RU,4.52,81,54.4299,31.8996,30.88
498,Aksu,1616241584,49,CN,4.92,25,41.1231,80.2644,53.11
499,Chui,1616241587,45,UY,12.91,77,-33.6971,-53.4616,73.47
500,Pombia,1616241589,0,IT,3.56,28,45.653,8.6336,51.01
501,Pervomayskiy,1616241592,100,RU,6.62,92,53.2485,40.2871,28.04
502,Goundi,1616241594,78,TD,5.73,17,9.3627,17.366,106.74
503,Lüderitz,1616241596,9,NA,29.53,51,-26.6481,15.1594,78.39
504,Sulina,1616241599,26,RO,3.91,54,45.1559,29.6536,43.12
505,Tartous,1616241607,75,SY,6.91,55,34.889,35.8866,64.99
506,Semnan,1616241611,5,IR,6.91,25,35.5729,53.3971,61.32
507,Alice Springs,1616241614,90,AU,6.91,53,-23.7,133.8833,75.2
508,Tarakan,1616241616,73,ID,8.28,76,3.3,117.6333,82.78
509,Burgeo,1616241619,1,CA,18.97,77,47.6167,-57.6152,17.44
510,Buy,1616241629,98,RU,8.97,77,58.4786,41.53,24.8
511,Jalingo,1616241632,91,NG,11.07,38,8.8833,11.3667,95.38
512,Bonthe,1616241634,100,SL,7.4,42,7.5264,-12.505,88.43
513,Chapada dos Guimarães,1616241637,75,BR,2.3,94,-15.4606,-55.7497,71.6
514,Ironton,1616241639,1,US,4.32,74,38.5368,-82.6829,30.2
515,Opuwo,1616241641,85,NA,6.71,46,-18.0607,13.84,83.82
516,Bac Lieu,1616241644,62,VN,10.94,77,9.285,105.7244,80.19
517,Panara,1616241647,25,IN,10.07,33,22.0667,78.55,78.84
518,Orange Cove,1616241650,98,US,1.01,94,36.6244,-119.3137,50.0
519,Iquitos,1616241652,40,PE,3.44,94,-3.7481,-73.2472,75.2
520,Qaqortoq,1616241654,75,GL,14.97,75,60.7167,-46.0333,35.6
521,Katunino,1616241656,40,RU,11.18,53,64.3862,40.6298,21.2
522,Tete,1616241647,75,MZ,16.11,74,-16.1564,33.5867,82.4
523,Saint-Pierre,1616241663,75,RE,23.02,70,-21.3393,55.4781,84.99
524,Vardø,1616241665,75,NO,25.32,74,70.3705,31.1107,32.0
525,Ciudad Bolivar,1616241667,73,VE,11.16,69,8.1222,-63.5497,76.8
526,Okhotsk,1616241671,49,RU,3.02,79,59.3833,143.3,6.01
527,Mangan,1616241673,98,IN,4.29,53,27.5167,88.5333,71.71
528,Hue,1616241675,20,VN,5.75,89,16.4667,107.6,78.8
529,Ilo,1616241677,23,PE,8.9,82,-17.6394,-71.3375,68.86
530,Yermolayevo,1616241679,100,RU,15.35,89,52.7167,55.8,28.44
531,Guangyuan,1616241682,100,CN,5.17,64,32.442,105.823,54.0
532,Gilgit,1616241684,85,PK,1.57,61,35.9221,74.3087,51.3
533,La Orilla,1616241687,0,MX,3.87,59,17.9833,-102.2333,71.4
534,Andros Town,1616241690,75,BS,8.05,88,24.7,-77.7667,73.4
535,Padang,1616241693,75,ID,10.36,83,-0.9492,100.3543,77.0
536,Samarai,1616241696,20,PG,5.44,76,-10.6167,150.6667,83.48
537,Lingao,1616241698,62,CN,12.82,77,19.9103,109.6859,77.68
538,Alugan,1616241700,99,PH,8.9,81,12.2188,125.4808,81.28
539,Paralia Milatou,1616241702,20,GR,18.41,56,35.3167,25.5667,68.0
540,Paita,1616241665,83,PE,10.29,75,-5.0892,-81.1144,74.46
541,Panāgar,1616241706,20,IN,10.36,25,23.3,79.9833,89.6
542,Betioky,1616241708,5,MG,2.04,34,-23.7167,44.3833,95.72
543,Saint Thomas,1616241710,40,BB,17.27,65,13.1833,-59.5833,77.0
544,Lipin Bor,1616241712,100,RU,12.06,83,60.2622,37.9763,19.2
545,Lata,1616241714,0,PT,11.01,41,40.1629,-8.3327,55.0
546,Pauini,1616241717,98,BR,1.57,97,-7.7136,-66.9764,73.72
547,Omboué,1616241719,100,GA,7.18,67,-1.5746,9.2618,85.32
548,Russell,1616241721,90,US,10.36,43,32.3502,-85.1999,48.2
549,Gamba,1616241724,100,GA,7.56,72,-2.65,10.0,83.89
550,Lamu,1616241726,1,KE,12.66,55,-2.2717,40.902,91.4
551,Kachug,1616241728,100,RU,5.44,82,53.9606,105.8817,23.09
552,Zaria,1616241730,67,NG,6.64,21,11.1113,7.7227,97.54
553,Luanda,1616241732,75,AO,3.44,74,-8.8368,13.2343,84.2
554,Rundu,1616241493,47,NA,6.85,47,-17.9333,19.7667,82.04
555,Tabou,1616241736,30,CI,5.99,65,4.423,-7.3528,85.86
556,Santa Marta de Tormes,1616241738,20,ES,26.46,34,40.9506,-5.6272,48.2
557,San Juan de la Maguana,1616241740,27,DO,2.42,1,18.8059,-71.2299,51.01
558,Valparaíso,1616241479,0,CL,4.61,93,-33.0393,-71.6273,57.99
559,Skjervøy,1616241746,100,NO,14.7,81,70.0311,20.9714,33.96
560,Ust'-Kut,1616241748,100,RU,13.53,93,56.7938,105.7672,27.07
561,Northam,1616241752,92,GB,3.0,80,51.0333,-4.2167,54.0
562,Gerāsh,1616241754,0,IR,18.41,19,27.6652,54.1371,87.8
563,Ahipara,1616241757,8,NZ,4.83,79,-35.1667,173.1667,55.85
564,Clovis,1616241547,90,US,12.66,66,36.8252,-119.7029,51.8
565,Stryn,1616241760,100,NO,5.99,77,61.9045,6.7226,41.0
566,Kuytun,1616241762,99,RU,6.58,88,54.3419,101.5036,25.99
567,Tetiiv,1616241765,100,UA,10.49,65,49.3767,29.6647,37.92
568,Malanje,1616241768,75,AO,4.61,78,-9.5402,16.341,80.6
569,San-Pédro,1616241770,92,CI,8.1,63,4.7485,-6.6363,85.62
570,Dicabisagan,1616241772,82,PH,4.18,90,17.0818,122.4157,78.24
571,Nhulunbuy,1616241774,40,AU,4.61,89,-12.2333,136.7667,78.8
572,Mnogovershinnyy,1616241777,7,RU,3.44,82,53.9353,139.9242,13.51
573,Mahabalipuram,1616241779,20,IN,8.05,58,12.6264,80.1722,86.0
574,Jatibonico,1616241782,50,CU,3.29,85,21.9419,-79.17,69.73
575,King City,1616241784,0,US,3.0,1,36.2127,-121.126,43.0
576,Bastos,1616241786,69,BR,10.89,81,-21.9219,-50.7339,74.62
577,Fort Nelson,1616241788,90,CA,10.36,67,58.8053,-122.7002,12.2
578,Málaga,1616241790,75,ES,8.05,66,36.7202,-4.4203,55.0
579,Apold,1616241792,20,RO,3.44,81,46.1167,24.8167,39.0
580,Kiknur,1616241796,97,RU,11.63,89,57.3034,47.2011,25.0
581,Humberto de Campos,1616241798,80,BR,5.53,87,-2.5983,-43.4611,79.12
582,Bhisho,1616241801,75,ZA,9.22,88,-32.8472,27.4422,71.6
583,Dārāb,1616241803,0,IR,16.37,9,28.7519,54.5444,80.19
